SOLUTION_COMPLETE;HINT;SOLUTION;TRANSLATE
to accuse someone of (doing)something;to accuse someone;of;acusar a alguien de(hacer) algo
to agree about;to agree;about;estar de acuerdo sobre
to agree on;to agree;on;ponerse de acuerdo sobre
to agree with;to agree;with;estar de acuerdo con
to consist in;to consist;in;consistir en, radicar en
to consist of;to consist;of;consistir en, estar compuesto de
to apologise to someone for(doing) something;to apologise;to;pedir perdón a alguien por (hacer) algo
to apply for (a job, position,grant);to apply;for (a job, position,grant);solicitar
to apply to (a place);to apply;to (a place);enviar una solicitud a
to apply to someone;to apply;to someone;incumbir, aplicar a alguien
to contribute to;to contribute;to;contribuir a
to consent to (doing) something;to consent;to;acceder a (hacer) algo
to approve of;to approve;of;dar el visto bueno a,aprobar
to cope with;to cope;with;lidiar con, hacer frente a
to argue with someone about something;to argue;with someone about something;discutir con alguien sobre algo
to count on;to count;on;contar con
to arrive at/in;to arrive;at/in;llegar a
to crash into;to crash;into;chocar con
to ask someone for something;to ask someone;for;pedirle a alguien algo
to deal with;to deal;with;tratar con
to ban someone from (doing) something;to ban someone;from (doing) something;prohibirle a alguien (hacer) algo
to decide against;to decide;against;decidir no (hacer algo)
to believe in;to believe;in;creer en
to decide on (doing) something;to decide;on (doing) something;decidirse por (hacer algo)
to belong to;to belong;to;pertenecer a
to differ from;to differ;from;diferir de
to benefit from;to benefit;from;beneficiarse de
to dream about/of;to dream;about/of;soñar con
to bet on;to bet;on;apostar por
to escape from;to escape;from;escapar de
to expel someone from;to expel someone;from;expulsar a alguien de
to blame someone for (doing);to blame someone;for (doing);culpar a alguien de (hacer) algo
to blame something on someone;to blame something;on someone;echarle la culpa a alguien por algo
to borrow something from;to borrow something;from;tomar algo prestado de
to explain something to;to explain something;to;explicar algo a
to care about;to care;about;preocuparse por
to feel sorry for;to feel sorry;for;sentir lástima por
to care for;to care;for;sentir cariño por, cuidar a
to forget about;to forget;about;olvidarse de
to choose from;to choose;from;elegir entre
to forgive someone for (doing) something;to forgive someone;for (doing) something;perdonar a alguien por (hacer) algo
to comment on;to comment;on;opinar sobre, comentar
to gamble on;to gamble;on;apostar a, confiar en que
to compare something to/with;to compare something;to/with;comparar algo con
to graduate from;to graduate;from;graduarse de
to compliment on;to compliment;on;felicitar, halagar por
to happen to;to happen;to;ocurrirle a
to concentrate on (doing) something;to concentrate;on (doing) something;concentrarse en (hacer) algo
to hear about/of;to hear;about/of;oír acerca de, enterarse de
to congratulate someone for/on (doing) something;to congratulate someone;for/on (doing) something;felicitar a alguien por(hacer) algo
to hear from someone;to hear;from;tener noticias de alguien
to connect to;to connect;to;relacionar con
to hide something from someone;to hide something;from;esconderle algo a alguien
to connect with;to connect;with;conectar con
to insist (up)on;to insist (up);on;insistir en
to introduce someone to;to introduce someone;to;presentar alguien a
to settle for;to settle;for;conformarse con
to involve someone in;to involve someone;in;involucrar a alguien en
to laugh about/at;to laugh;about/at;reírse de
to lead to;to lead;to;llevar a, conducir a
to shout at;to shout;at;gritar a (con enfado)
to shout for help;to shout;for help;gritar para pedir ayuda
to shout to;to shout;to;gritar a (para que te oigan)
to lie to someone about;to lie;to someone about;mentirle a alguien acerca de
to smell of/like;to smell;of/like;oler a
to lose at something;to lose;at something;perder a algo
to smile at;to smile;at;sonreír a
to matter to someone;to matter;to someone;importarle a alguien
to specialise in;to specialise;in;especializarse en
to object to;to object;to;objetar, no estar de acuerdo con
to stare at;to stare;at;mirar fijamente a
to operate on;to operate;on;operar (a)
to stop someone from doing something;to stop someone;from doing something;evitar que alguien haga algo
to participate in;to participate;in;participar en
to subscribe to;to subscribe;to;suscribirse a
to persist in;to persist;in;persistir en, obstinarse en
to substitute something for something else;to substitute something;for something else;sustituir/reemplazar algo por otra cosa
to prefer something to;to prefer something;to;preferir algo a
to subtract something from;to subtract something;from;restar algo de
to prevent someone from (doing) something;to prevent someone;from (doing) something;evitar/impedir que alguien haga algo
to succeed in (doing) something;to succeed;in (doing) something;tener éxito en (hacer) algo
to profit from;to profit;from;beneficiarse de
to suffer from;to suffer;from;sufrir de, padecer
to prohibit someone from (doing) something;to prohibit someone;from (doing) something;prohibirle a alguien (hacer) algo
to talk to/about;to talk;to/about;hablar con/sobre
to protect someone from;to protect someone;from;proteger a alguien de
to taste of/like;to taste;of/like;saber a
to provide someone with something;to provide someone;with something;proporcionarle a alguien algo
to think of;to think;of;pensar en, ocurrírsele
to recover from;to recover;from;recuperarse de
to threaten someone with;to threaten someone;with;amenazar a alguien con
to refer to something as;to refer;to something as;referirse a algo como
to throw at/to;to throw;at/to;tirar/lanzar a
to rely (up)on;to rely (up);on;contar con / depender fuertemente de
to translate into;to translate;into;traducir al
to remind someone of someone/something;to remind someone;of someone/something;recordarle a alguien a alguien/algo
to vote for someone/something;to vote;for someone/something;votar a alguien/por algo
to reply to;to reply;to;responder a
to vouch for;to vouch;for;responder por, poner las manos en el fuego por
to report something to;to report something;to;denunciar algo ante
to warn someone against (doing) something;to warn someone;against (doing) something;alertar/advertir a alguien contra (hacer) algo
to resign from;to resign;from;dimitir, renunciar a
to wish for;to wish;for;desear, anhelar
to resort to;to resort;to;recurrir a, echar mano de
to wonder about;to wonder;about;reflexionar acerca de, preguntarse sobre
to search for;to search;for;buscar
to wish for;to wish;for;desear, anhelar
to result in;to result;in;resultar en, ocasionar, dar lugar a, tener como consecuencia
